Code,Site Name,Type,Description,Priority,Client,Fault/Event Start - Date/Time,Fault/Event End - Date/Time (TECHS - What time did the asset come back online?),Assets,Status,Time Spent Hours,Date Completed,Date Last Modified,Assigned Users,Date Created,Status of Work,Charge Department,Work Order Status Group,Completion Notes,Asset Production Time,Total Maint Hours Online,Point of Contact,
27841,Adams,Troubleshooting Electrical Equipment,INV 10 offline (bus imbalance),2 - High,Soltage,"Sep 01, 2023 02:30:00 PM",,Inverter 10 (ADAM-INV10),On Hold - Awaiting Parts,2.08,,"Sep 11, 2023 07:46:24 PM","Juan Canahuati Sagastume, Tim Pierce","Sep 01, 2023 05:26:49 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-11 FHU
- Received Shipping confirmation for RMA unit. Was reminded to send back defective unit to complete the RMA. 

2023-09-06 FHU
- Per CPS:
RMA 11214 was created for your reference. We will share tracking as soon as it becomes available.

2023-09-05 TPI
-Began diagnosing INV 10. Pulled up inverter on CPS app and found DC voltage at 1200, and AC voltage was between 624-626 VAC across all phases. 
-Inverter was showing Permanent fault of power module alarm. 
-Inspected inside of CB enclosure and found nothing out of place. 
-Called CPS and provided the information we had. After reviewing the case, CPS has issued an RMA for this inverter. ",,,Forrest Huynh,
27897,Adams,Performance Engineering ,INV 1-6 (No Comms) - PE Daily Production Confirmation (Meter Compairson),6 - Scheduled,Soltage,"Sep 01, 2023 01:40:00 PM",,Adams (ADAM),Internal Action Needed - PE,,,"Sep 07, 2023 04:14:23 PM",,"Sep 05, 2023 01:38:33 PM",,(OVH) Overhead,,"2023-09-06 JEN
PE confirmed using meter power that 13 inverters are online.

2023-09-06 JEN
PE confirmed using meter power that 13 inverters are online.

2023-09-05 ADE
Only INVs 6, 10 and 16 are currently known offline",,,Catherine Ambrose,
27828,Langley,Corrective,combiner 5.6 offline,3 - Medium,Ecoplexus,"Sep 01, 2023 01:36:00 PM",,Inverter 5 (LANG-INV05),Ready for Review ,,,"Sep 11, 2023 03:15:13 PM","Drew Parada, Travis Williams","Sep 01, 2023 01:32:18 PM",INCOMPLETE,(OM) O&M Contract,,"2023-09-11 TWI
Techs arrived to find 5.6 (5.40) offline
- Techs did testing to find cause
- Techs found nominal voltage on all incoming strings at 798VDC-805VDC per string proving field is operational up to the combiner box
- Techs tested all fuses inside combiner box to find all good
- Techs tested negative to positive on the incoming feeders to find nominal voltage of 600VDC-608VDC
- Techs tested negative feeder to ground finding 0 VDC and techs tested positive feeder to ground finding 598VDC-600VDC
- Techs established that all voltages were in correct range and correct
- Techs investigated inverter, performing a power cycle with no change
- Techs the tested all DC fuses related to combiner operations to find all good with none blown
- Techs checked for signs of thermal damage finding no such evidence
- Techs checked for loose or broken wire connections to find none
- Combiner not restored, further investigation with SMA is needed
- Techs to return to site to at a later date to further investigate
- Photos uploaded to the photos link",,,Drew Parada,
27826,,Vehicle/Equipment Maintenance,"RTV general servicing (replace tires, check general operation, ect). ",6 - Scheduled,Carolina Solar Services,"Sep 01, 2023 01:14:00 PM","Sep 01, 2023 03:00:00 PM",Kubota RTV 1140 (EA-503),On Deck to be Scheduled,,,"Sep 06, 2023 08:18:28 AM",Landscaping Crew West,"Sep 01, 2023 01:11:46 PM",INCOMPLETE,(OVH) Overhead,,"2023-09-01 JHE
- pressure washed 
- removed sprayer 
- started trying to find rear tires ",,,Forrest Huynh,
27450,,Internal PE Tracking,Monthly CB check,3 - Medium,,"Sep 01, 2023 11:34:00 AM",,,Internal Action Needed - PE,2.00,,"Sep 01, 2023 03:16:27 PM",Andrea De Jesus,"Aug 15, 2023 12:06:13 AM",,(OM) O&M Contract,,"2023-09-01 ADE
Sonne 2 complete - WO 
Soltage:  Agate Bay, Albertson, Fort rock 1, Fort Rock 4, Pamlico, Riley, Starvation,",,,Catherine Ambrose,
27889,Cedar Grove Property,Landscaping - Other,Cedar Grove - September Sheep Tasks,6 - Scheduled,Carolina Solar Services,"Sep 01, 2023 09:29:00 AM",,"NC, Landscaping North (NC-VM-NORTH)",On Deck to be Scheduled,20.84,,"Sep 05, 2023 10:51:12 AM",Brock Phillips,"Sep 05, 2023 09:27:14 AM",,(OVH) Overhead,,,,,Forrest Huynh,
27820,Sonne Two,Troubleshooting Electrical Equipment,Sonne Two - 21qty Combiners - Underperforming 5-50%/ea,3 - Medium,NESM/Exus,"Sep 01, 2023 09:18:00 AM",,"Combiner Box 1-02 (SONN-INV1-CB1-02), Combiner Box 1-03 (SONN-INV1-CB1-03), Combiner Box 1-04 (SONN-INV1-CB1-04), Combiner Box 1-07 (SONN-INV1-CB1-07), Combiner Box 1-08 (SONN-INV1-CB1-08), Combiner Box 1-09 (SONN-INV1-CB1-09), Combiner Box 1-11 (SONN-INV1-CB1-11), Combiner Box 1-12 (SONN-INV1-CB1-12), Combiner Box 1-13 (SONN-INV1-CB1-13), Combiner Box 1-14 (SONN-INV1-CB1-14), Combiner Box 1-15 (SONN-INV1-CB1-15), Combiner Box 1-18 (SONN-INV1-CB1-18), Combiner Box 1-19 (SONN-INV1-CB1-19), Combiner Box 1-20 (SONN-INV1-CB1-20), Combiner Box 2-05 (SONN-INV2-CB2-05), Combiner Box 2-14 (SONN-INV2-CB2-14), Combiner Box 2-15 (SONN-INV2-CB2-15), Combiner Box 2-16 (SONN-INV2-CB2-16), Combiner Box 3-02 (SONN-INV3-CB3-02), Combiner Box 3-04 (SONN-INV3-CB3-04), Combiner Box 3-17 (SONN-INV3-CB3-17), Sonne Two (SONN)",On Hold - Awaiting Parts,16.28,,"Sep 06, 2023 02:18:22 PM","Juan Canahuati Sagastume, Tim Pierce","Sep 01, 2023 09:13:24 AM",INCOMPLETE,(TM) Time and Materials,,"2023-09-06 FHU
- Placed order for new fuses from CES. Waiting for shipping confirmation. 

2023-09-06 TPI
-Arrived on site and began diagnosing underperforming CB's. 
-For all CB's, performed current checks as well as voltage checks on individual strings. No anomalies found. 
-Performed continuity checks on fuses and found multiple blown fuses in all underperforming CB's. Replaced fuses as we went. 
-Completed all CB's in section 3, all CB's in section 2 and all CB's in section 1 with the exception of CB 1.04, CB 1.03 and CB 1.02. We ran out of fuses, but checked all the combiners. No anomalies found, aside from blown fuses. One remaining fuse needs to be replaced in Cb 1.04, 3 fuses need to be replaced in CB 1.03 and 4 fuses need to be replaced in CB 1.02.
-49 fuses replaced in total today, 8 still need to be replaced. 

2023-09-01 ADE
The following combiners are reporting underperformance compared to irradiance-relative performance in August 2018 (corrected for 1% annual degradation).

	1.02 ~30% underperforming
	1.03 ~20% underperforming
	1.04 ~40% underperforming
	1.07 ~10% underperforming
	1.08 ~20% underperforming
	1.09 ~10% underperforming
	1.11 ~20% underperforming
	1.12 ~20% underperforming
	1.13 ~40% underperforming
	1.14 ~40% underperforming
	1.15 ~30% underperforming
	1.18 ~10% underperforming
	1.19 ~50% underperforming
	1.20 ~20% underperforming
	2.05 ~10% underperforming
	2.14 ~20% underperforming
	2.16 ~10% underperforming
	2.15 ~10% underperforming
	3.02 ~20% underperforming
	3.04 ~10% underperforming
        3.17 ~5% underperforming",,,Forrest Huynh,
27831,Bartow,Troubleshooting Electrical Equipment,INV 1A-8 clipping at 41 kW (external fan error),3 - Medium,Alchemy Renewable Energy,"Sep 01, 2023 09:00:00 AM",,Inverter 1A-8 (BART-INV-1A-8),On Hold - Awaiting Parts,2.00,,"Sep 06, 2023 03:24:27 PM",AIREKO,"Sep 01, 2023 02:26:52 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-06 DPA
-Aireko Check Out 3:08 PM
-WO-27831--INV 1A-8 clipping at 41 kW (external fan error
( We starter a RMA for fan replacement)
1 hr x 2 techs= 2 M/hrs

2023-09-06 DPA
-Aireko Check In 9:31Am
-Good morning, tech’s Adriana Velázquez and Luis Abreu checking in Bartow Solar Farm with the work orders:
-WO-27831--INV 1A-8 clipping at 41 kW (external fan error",,,Drew Parada,
27787,"Franklin Solar, LLC",UAV Services ,Franklin - Leyline UAV Inspection,7 - PM Scheduled,Leyline Energy,"Sep 01, 2023 07:35:00 AM","Sep 01, 2023 10:46:00 AM",Franklin (FRNK),2. PM - Onsite Inspection Complete / Report Due,3.57,,"Sep 11, 2023 11:42:25 AM",UAV Services,"Sep 01, 2023 12:17:51 AM",INCOMPLETE,(OM) O&M Contract,,"2023-09-11 WRA
UAV flight completed

2023-09-01 WRA 
Arrived on site to complete flight, however Inverter 4 was offline.",,,Alex Luna,
27825,Briarwood,Troubleshooting Electrical Equipment,INV A.08 - Offline (Floating capacitor pre-charge relay fault),2 - High,Soltage,"Sep 01, 2023 07:00:00 AM","Sep 06, 2023 02:00:00 PM",Inverter A-08 (BRIA-INV-A08),Open,1.92,,"Sep 12, 2023 06:23:35 AM","Juan Canahuati Sagastume, Kerry McCaslin, Landscaping Crew West, Tim Pierce","Sep 01, 2023 11:55:44 AM",COMPLETE,(TM) Time and Materials,,"2023-09-11 FHU
- Per SG:
'Initially, based from the photos you shared; it shows Low Insulation Resistance Flts followed by Device Abnormality. Please make sure to address the Low Insulation Faults. Can you please Tap the Device Abnormality and take a screenshot of the Fault ID.

2023-09-07 FHU
- Messaged SG Tech support for troubleshooting advice. 

2023-09-06 KMC
-Arrived onsite with INV online.
-Logged into INV via mobile app. App didn't show any events for Floating Capacitor pre-charge relay fault. INV did display several insulation resistance faults, with all faults self resolving.  
-Due to the IR faults techs checked string VDC with no melted connector indicated from voltage check. 
-With fuses open techs checked the string fuses and found 4 open fuses. The 4 open fuses were replaced.
-INV came back online without issue.

2023-09-04 JEN
Issue is intermittent, with the inverter starting up normally on 09/02, staying offline on 09/03, and coming online this morning. WO priority downgraded to Medium.

2023-09-01 BDO
INV 8 offline - Floating capacitor pre-charge relay fault. ",,,Forrest Huynh,
27775,Progress Energy - Sutton,Collecting Data,post-storm assessment. ,6 - Scheduled,Omnidian,"Aug 31, 2023 03:30:00 PM",,Progress Energy - Sutton (PROG),Ready for Review ,5.50,,"Sep 08, 2023 03:37:27 PM",Darius Webb,"Aug 31, 2023 04:03:24 PM",COMPLETE,(TM) Time and Materials,,"2023-09-08 DWE
-arrived on site called omnidian to check in with site capture
-walked rows to find any damage that the storm could have caused 
-documented pictures and damage found
-verified site production
-meter 1 =114.95kv
-meter 2= 148.04kv
-vegetation on site growing up under racking
-verified site production and communications before leaving 
-updated site capture wo#  420897




2023-09-01 DPA
-response from Omnidian
-Hey Drew,
Site capture #420897 has been assigned. Please let me know if you have any questions. Thanks, Aman

2023-08-31 DPA
-See Client provided Notes prior to starting
-Awaiting a Site Capture Number from Aman",,,Drew Parada,
27857,Gastonia Solar,Troubleshooting Electrical Equipment,INV 2.12.30 offline (islanding),3 - Medium,"Adapture Renewables, Inc","Aug 31, 2023 03:25:00 PM",,String Inverter 02-12-30 (GAST-INV-02-12-30),On Deck to be Scheduled,,,"Sep 02, 2023 10:28:27 PM",,"Sep 02, 2023 10:24:01 PM",,(TM) Time and Materials,,,,,Forrest Huynh,
27770,Sonne Two,Corrective,Troubleshoot underperformance on Inv 1,3 - Medium,NESM/Exus,"Aug 31, 2023 02:15:00 PM",,Inverter-1 (SONN-INV1),On Deck to be Scheduled,,,"Sep 05, 2023 09:44:52 AM",Performance Engineering,"Aug 31, 2023 02:14:22 PM",,(OM) O&M Contract,,,,,Catherine Ambrose,
27769,,Office Work,Gamesa Inventory Move 11 pallets move from CSS Durham office to CCR,6 - Scheduled,Siemens Gamesa,"Aug 31, 2023 02:00:00 PM",,,On Deck to be Scheduled,,,"Sep 05, 2023 12:10:59 PM",,"Aug 31, 2023 02:04:03 PM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27768,,Vehicle/Equipment Maintenance,Oil Change,6 - Scheduled,,"Aug 31, 2023 01:52:00 PM",,Ford F150 (111) (VEH-111),Open,4.00,,"Sep 07, 2023 12:00:24 PM",Antonio Overton,"Aug 31, 2023 01:50:42 PM",,(OVH) Overhead,,,,,Alex Luna,
27913,EMJ Solar,Troubleshooting Electrical Equipment,INV 25 offline (ground fault),3 - Medium,City of Raleigh,"Aug 31, 2023 01:00:00 PM",,Inverter 25 (EMJ-INV25),On Hold - Waiting for Client Approval,,,"Sep 06, 2023 02:01:08 PM",,"Sep 06, 2023 01:53:48 PM",,(TM) Time and Materials,,,,,Forrest Huynh,
27759,Silverton,Corrective,UAV Follow Up @ Silverton: 1 CB Offline (CB 1-3),3 - Medium,Pine Gate Renewables,"Aug 31, 2023 10:12:00 AM",,Silverton (SILV),On Hold - Awaiting Parts,,,"Sep 07, 2023 12:01:54 PM",,"Aug 31, 2023 10:09:59 AM",,(OM) O&M Contract,,,,,Dylan Barrett,
27740,Mariposa,Mow,"Mow array and buffer, spot spray as needed",6 - Scheduled,NESM/Exus,"Aug 31, 2023 08:02:00 AM",,Mariposa (MARI-VMS),On Deck to be Scheduled,,,"Aug 31, 2023 08:02:28 AM",Landscaping Crew West,"Aug 30, 2023 06:04:27 AM",,(OM) O&M Contract,,,,,Forrest Huynh,
27755,Garner Solar,Corrective,Replace filter screens on all site inverters. ,4 - Low,Capitol Broadcasting,"Aug 31, 2023 07:54:00 AM",,Garner Solar (GARN),On Deck to be Scheduled,,,"Aug 31, 2023 07:55:19 AM",,"Aug 31, 2023 07:53:23 AM",,(TM) Time and Materials,,"2023-08-31 FHU
- Received quote from BOLD. Stored in Files tab. ",,,Forrest Huynh,
27752,Bartow,Performance Engineering ,Bartow - PowerManager - Repeated Upload Queue backlog,6 - Scheduled,Alchemy Renewable Energy,"Aug 30, 2023 01:00:00 PM",,Bartow (BART),Internal Action Needed - PE,2.00,,"Sep 05, 2023 08:33:09 PM",Performance Engineering,"Aug 30, 2023 01:23:58 PM",,(OM) O&M Contract,,"2023-08-01 ADE
2023-08-30 ADE
Analysis of alert frequency and email communications with AE to investigate cause of recent uptick:

Hello again Kashish,

Please see three (3) points below:
1. Yes that is correct, this site does not report data overnight.  This is determined by the site's power-design and is not uncommon in this industry.  That said, I'm not actually seeing data backfilling from overnight, we just have gaps while the site is asleep:
2. As you said, it does catch up eventually, the problem arises when we have technicians working on the site and we are unable to aid with remote-troubleshooting via Powertrack or to confirm inverter production prior to their departures.  
3. The intermittency and recent uptick of the backlog becoming extreme (1000+files, triggering the 587-Site Controller Health alert) seems worth deeper investigating.  Here is a table with the instances of the 587-Site Controller Health alert for Bartow, we are currently in a streak of high-occurrence months after over a year of low-occurrence.
Site: Bartow										
Hardware: PowerManager										
Alert: 587 - Site Controller Health										
Count of Alert Start	Column Labels									
Row Labels	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Grand Total
2019			1			1	3	4		2	37	30	78
2020	28	21	29	12	34	25	25	26	24	31	25	33	313
2021	28	25	24	25	26	28	23	25	17	11	15	14	261
2022	13	10	10	7	3	3			14	3	2		65
2023		1	19	26	29	27	32	30					164
Grand Total	69	57	83	70	92	84	83	85	55	47	79	77	881

",,,Catherine Ambrose,
27822,Dairy,Corrective,"Evaluate, source, and replace CTs on MV Meter",3 - Medium,NESM/Exus,"Aug 30, 2023 09:32:00 AM",,Customer MV Meter (DAIR-INTERCON-CUST.MVM),On Deck to be Scheduled,,,"Sep 01, 2023 09:32:26 AM",,"Sep 01, 2023 09:29:37 AM",,,,,,,Dylan Barrett,
27888,,Vehicle/Equipment Maintenance,Fix breaks on trailer ,6 - Scheduled,Carolina Solar Services,"Aug 30, 2023 09:23:00 AM",,Gooseneck Trailer  (EA-602),Open,11.73,,"Sep 05, 2023 09:23:40 AM",Nick Hudgins,"Sep 05, 2023 09:21:10 AM",,(OVH) Overhead,,,,,Forrest Huynh,
27745,Garner Solar,Corrective,Invs A & D no comms - failed MOXAs,2 - High,Capitol Broadcasting,"Aug 30, 2023 09:05:00 AM",,"Inverter A2 - Phase II (GARN-INVA2), Inverter D2 - Phase II (GARN-INVD2)",On Hold - Awaiting Third Party,,,"Sep 06, 2023 03:14:20 PM",,"Aug 30, 2023 09:03:40 AM",,(TM) Time and Materials,,"2023-09-06 FHU
- Requested quote from BOLD. 

2023-08-30 FHU
- Received FSO# 491590 from BOLD to get a quote started. 
- Per BOLD:
all Notes: DISPATCH BILLABLE Customer need a quote for 7 Moxas for the Garner NC TV tower site. There are 2 site there 1 with 2 600v 500nx and the other with 5 1KV units. The serial numbers are 799783 799781 887504 887501 887507 887506 887505. Bolds tech(Carl) will program MOXAs onsite.
- CSS PE confirmed that the site started communicating again around 15:00EDT. INV D didn't start talking again. Then this morning, we also lost comms to INV A, and INV E is communicating but not producing.
- Sent quote request to BOLD quotes department. ",,,Forrest Huynh,
27743,Pika,Corrective,UAV Follow Up @ Pika: 40 Misaligned Trackers,3 - Medium,Pine Gate Renewables,"Aug 30, 2023 08:23:00 AM",,Pika (PIKA),On Deck to be Scheduled,0.00,,"Sep 07, 2023 11:55:13 AM",,"Aug 30, 2023 08:18:52 AM",,(OM) O&M Contract,,,,,Dylan Barrett,
27742,Garner Solar,Corrective,Bring four of the secondhand inverter blower fans back to CBC to add to Client's inventory. ,5 - Punchlist,Capitol Broadcasting,"Aug 30, 2023 08:11:00 AM",,Garner Solar (GARN),On Deck to be Scheduled,,,"Aug 30, 2023 08:11:19 AM",,"Aug 30, 2023 08:09:43 AM",,(TM) Time and Materials,,,,,Forrest Huynh,
27776,NC Solar I,Troubleshooting Electrical Equipment,INV 1B  offline ,2 - High,NESM/Radian Generation,"Aug 29, 2023 07:00:00 AM",,"Customer Recloser (NCSO.1-INTERCON-CUST.R), Inverter 1A (NCSO.1-INV-1A)",On Hold - Awaiting Parts,40.81,,"Sep 11, 2023 02:51:04 PM","Austin Jones, Darius Webb, Mark Nashland","Aug 31, 2023 04:04:46 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-011 DPA
-C-Phase has agreed to meet CSS for an alternative to the arrestors 9 Am

2023-09-11 DPA
-follow up with service providers for an update on arrestors
-follow up email resent to Siemens for arrestors

2023-09-07 DPA
-reached out to Weco and C-Phase for surge arrestors


2023-09-07 DWE
-arrived on site made sure site was deenergized 
-Tested work area with non contact tester
-took pictures of ac switch gear 
-remover CT from phase 3 in ac switch gear
-installed new CT from Costumers Conex (type 4MA74 XC F-NR 12/ 10837009)
-site not reenergized due to needing 2 grounding arresters part # (3EK7 180-3AD4 153KV)



2023-09-05 DPA
-FHU has confirmed replacement CT's on  9/7 w/ AJO

2023-09-05 DWE
-Arrived on site to inverter B1 offline 
-powered off inverters
-powered off Combiner Boxes
-opened AC Switch gear
-Opened Phase A B & C Blades at pole
- removed old fan (K3G175-CF19-11) 230V 50/60HZ 115W 0.82A 4260MIN-1 
- Installed new fan (K3G190-RY53-05) 230V 50/60 HZ 0.95A (20510074X9) Fron Onsite Inventory
- powered site back on 
-25kv switch gear (open) started smoking when site powered on
-visibly able to see hot spot-on CT in switch gear cabinet phase 3 Part # siemens type: 4ma74 xc SN: 17/ 11040280
-Grounding arresters for phase 2 and 3 have visual hot spots
-ALL PHOTOS IN PHOTO LINKS

2023-09-01 RST
-arrived on site turned off inverter 
-the 1B inverter is offline 
-did visual check on inverter nothing 
-look at arrays nothing 
-unplugged stack fan to see if the inverter will turn on 
-inverter did not turned on replug the stack fan
-unplugged right cabinet fan and turn on the inverter 
-the inverter came on and went right off
- it has s bad cabinet fan

2023-08-31 BDO
NC Solar I INV 1A offline again as of 2023-08-29 07:00EDT. This may be 1B in the field?",,,Drew Parada,
27753,Sheep,DAS and Communications Work,Sheep site not communicating,2 - High,Pine Gate Renewables,"Aug 29, 2023 12:14:00 AM",,DAS (SHEP-DAS),On Deck to be Scheduled,10.40,,"Sep 08, 2023 10:48:25 AM",,"Aug 30, 2023 04:16:34 PM",INCOMPLETE,(TM) Time and Materials,,"2023-09-01 JDA
installed battery bank and restored communications
low radiance is causing batteries to go dead.

2023-08-31 BDO
Sheep communicated from last night 17:15PDT through this morning 03:30PDT.

2023-08-30 BDO
Site comms outage due to battery backup losing power during cloudy weather. CSS will recharge battery and restore comms.",,,Dylan Barrett,
27533,Freemont,Commissioning and Support,Freemont - Duke MOA Self Inspection ,6 - Scheduled,NESM/Exus,"Aug 28, 2023 05:35:00 PM",,Freemont (FREE),On Deck to be Scheduled,0.00,,"Aug 28, 2023 05:35:15 PM",,"Aug 18, 2023 02:29:09 PM",,(FX) Fixed Scope and Price,,,,,Alex Luna,
27719,,Collecting Data,One-time pull of meter & recloser settings from al sites,4 - Low,,"Aug 28, 2023 02:00:00 PM",,,Internal Action Needed - PE,,,"Sep 07, 2023 10:18:41 AM",,"Aug 28, 2023 02:26:30 PM",,(OVH) Overhead,,"2023-08-28 CAM
After an issue at Atkinson 2 where we didn't have any settings to upload to a new meter, it was decided that PE should ensure we have settings for all meters and reclosers at sites we monitor. PE will pull these remotely when possible then work with Ops to pull the rest during scheduled site visits. This will also be incorporated into the onboarding process moving forward.
Tracking spreadsheet: https://carolinasolar.sharepoint.com/:x:/s/Performance_Engineering/EXgAO3CLtrhBjnQEa62CG5EBchJlFkQOXtwt74hGKKaIvg?e=qXanHS",,,Catherine Ambrose,
27713,Woodsdale,Corrective,Severed EGCs on the exterior of Invs 1A.05 & 2C.04. ,5 - Punchlist,Alchemy Renewable Energy,"Aug 28, 2023 11:55:00 AM",,"Inverter I-1A-5 (WOODS-INVI-1A-5), Inverter I-2C-4 (WOODS-INVI-2C-4)",On Deck to be Scheduled,,,"Aug 28, 2023 11:56:14 AM",,"Aug 28, 2023 11:53:01 AM",,(TM) Time and Materials,,,,,Forrest Huynh,
27712,Sophie,Corrective,Investigate coolant leaking from radiator. ,4 - Low,Menlo Capital,"Aug 28, 2023 11:49:00 AM",,"Inverter 2 (SOPH-INV02), Inverter 3 (SOPH-INV03)",On Deck to be Scheduled,,,"Aug 28, 2023 11:49:44 AM",,"Aug 28, 2023 11:45:28 AM",,(TM) Time and Materials,,,,,Forrest Huynh,
27212,"Sandy River Solar, LLC",Preventive Maintenance Inspection,Sandy River - hep Petra Semi-Annual Inspection,7 - PM Scheduled,Hep Petra O&M LLC,"Aug 28, 2023 10:00:00 AM","Aug 09, 2023 05:43:00 PM","Customer MV Meter (SAND-IX-CUST.MVM), DAS (SAND-DAS), Interconnection (SAND-IX), Inverter 1 (SAND-INV1), Inverter 10 (SAND-INV10), Inverter 2 (SAND-INV2), Inverter 3 (SAND-INV3), Inverter 4 (SAND-INV4), Inverter 5 (SAND-INV5), Inverter 6 (SAND-INV6), Inverter 7 (SAND-INV7), Inverter 8 (SAND-INV8), Inverter 9 (SAND-INV9), Irradiance Sensor (SAND-IR.SENS), PV Switchboard (SAND-PVSB1), Sandy River Solar, LLC (SAND), Solar Photovoltaic Module (SAND-MOD), Transformer 1 (SAND-XFMR1), Weather Station (SAND-WEA.STA)",2. PM - Onsite Inspection Complete / Report Due,12.40,,"Sep 11, 2023 10:38:52 AM","Cole Harbick, Ryan Jordan","Jul 31, 2023 03:06:57 AM",COMPLETE,(OM) O&M Contract,,"2023-08-09 CHA
-Crew completed inspection of all inverters, Transformer, DAS, Weather station, general site, racking and wire management, PV Switch board.
-Crew changed gate code as per WO. new gate code is: 0820
-Crew Noted that all trackers were facing in the wrong direction. Crew attempted to contact Valmont to reset trackers, left a message. ",,,Dylan Barrett,
27723,Mill Creek,Mow,Mow array and buffer,6 - Scheduled,Pine Gate Renewables,"Aug 28, 2023 09:00:00 AM",,Mill Creek (MILL),Open,12.25,,"Aug 28, 2023 03:32:28 PM",,"Aug 28, 2023 03:31:30 PM",,(OM) O&M Contract,,,,,Dylan Barrett,
27738,Bartow,Troubleshooting Electrical Equipment,INV 1D-7 intermittently offline (Insulation Resistance Low),3 - Medium,Alchemy Renewable Energy,"Aug 27, 2023 06:45:00 PM","Sep 06, 2023 03:08:00 PM",Inverter 1D-7 (BART-INV-1D-7),On Hold - Awaiting Invoice,5.00,,"Sep 08, 2023 11:08:34 AM",AIREKO,"Aug 29, 2023 05:27:18 PM",COMPLETE,(TM) Time and Materials,,"2023-09-08 DPA
-FSR received and uploaded
-awaiting on invoice

2023-09-06 DPA
-Aireko Check Out 3:08 PM
-Good afternoon, Adriana and Luis checking out in Bartow Solar Farm with WO :
-WO-27738--INV 1D-7 intermittently offline (Insulation Resistance Low)
( we fix the string 6 and the inverter is producing 100%)
2 hrs x 2 techs= 4 M/hrs

2023-09-06 DPA
-Aireko Check In 9:31
-Good morning, tech’s Adriana Velázquez and Luis Abreu checking in Bartow Solar Farm with the work orders:
-WO-27738--INV 1D-7 intermittently offline (Insulation Resistance Low)
-RM sent email saying issue was addressed on 9/1
-response from Aireko
-Good afternoon  Andrew 
WO 27738-----INV 1D.7 - LOW RESISTENCE ERROR
 The past week The troubleshooting, AC and DC sources, result String #6 fail to ground, string Unconnected, needs to follow-up visit to fix string and connect into inverter, because inverter producing 83 %. 

The string number 6 was repair today.  The inverter is produccing 100%.



2023-09-01 DPA
-Aireko Check Out 2:41 PM
-Additionally sent by Carolina Solar Support
-WO 27738-----INV 1D.7 - LOW RESISTENCE ERROR
Troubleshooting, AC and DC sources, result String #6 fail to ground, string Unconnected, needs to follow-up visit to fix string and connect into inverter, because inverter producing 83 %.
0.5 hrs x 1 techs =1 MHr",,,Drew Parada,
27767,Arba,Troubleshooting Electrical Equipment,INV 2 (in DAS) offline,3 - Medium,Leyline Energy,"Aug 26, 2023 11:20:00 AM",,Inverter 2 (ARBA-INV2),On Hold - Awaiting Parts,6.23,,"Sep 11, 2023 09:22:45 AM","Chris Harris, Travis Williams","Aug 31, 2023 01:07:05 PM",COMPLETE,(TM) Time and Materials,,"2023-09-11 ADE
Inverter 2 did not report data for many days and then backfilled on 9/9.  Backfilled data shows significant underperformance including cycling on and off with long periods offline.  See Files for data.

2023-09-07 JEN
Inverter stopped reporting again yesterday at 21:35 EDT.

2023-09-06 JEN
Data appear to have backfilled from 09-02 though today, confirming the inverter has been online and producing.

2023-09-06 CHA
-Reply from Solectria 
Hello, 
Nothing has shipped on this case yet. Order was submitted for the srv board.

2023-09-1 TWI
- Techs arrived to find inverter 2 offline
- Inverter showed sign on keypad of soft starts
- Last event on 2023-08-28 of power derating. Possible cause is cloud cover from storms in the area that date.
- Techs inspected inverter with no issues found, and power cycled. Comms not restored.
- Inverter will come online onsite but will not communicate out.
-  Techs reached out to Solectria and spoke to Juan and created a case (Case#-0440591328)
-  Solectria tech had techs verify internet connection to inverter, Internet present at inverter
-  Solectria tech said SRV board is bad/faulty and replacement will be sent to CSS (CHA residence)
- Techs will update work order with shipping/tracking info when received
- Inverter 2 online and producing but will remain not communicating until new part arrival
- Techs verified site with CSS PE JEN (Jason)

2023-08-31 BDO
INV 2 stopped communicating 2023-08-26 11:20EDT and appears to be offline based on meter production values.",,,Drew Parada,
27688,Tiburon,Troubleshooting Electrical Equipment,"Tiburon A2-21, A2-22, A2-23, A2-24 offline",3 - Medium,NESM/Exus,"Aug 26, 2023 09:00:00 AM",,AC Combiner - ACB A2-02 (TIBU-ACB-A2-02),On Deck to be Scheduled,,,"Aug 27, 2023 05:13:38 PM",,"Aug 27, 2023 04:59:32 PM",,(TM) Time and Materials,,"2023-08-27 BDO
Tiburon A2-21, A2-22, A2-23, A2-24 offline at 2023-08-26 07:00EDT (possibly combiner off).",,,Forrest Huynh,
